ensemblID,Symbol,EntrezID,logFC
ENSMUSG00000094420,Igkv10-96,NA,8.49160677409581
ENSMUSG00000048852,Gm12185,620913,6.06773125207729
ENSMUSG00000082292,Gm12250,NA,5.92191054378142
ENSMUSG00000037849,Ifi206,102639543,5.53030877910684
ENSMUSG00000068129,Cst7,13011,5.4743115643083
ENSMUSG00000070501,Ifi214,545384,5.46679018997025
ENSMUSG00000078763,Slfn1,20555,5.43251965925022
ENSMUSG00000026070,Il18r1,16182,5.41220122628414
ENSMUSG00000029417,Cxcl9,17329,5.38767050435816
ENSMUSG00000073491,Ifi213,623121,5.32199765269121
ENSMUSG00000023078,Cxcl13,55985,5.31230047073619
ENSMUSG00000027514,Zbp1,58203,5.29938428330897
ENSMUSG00000030167,Klrc1,16641,5.27826166197833
ENSMUSG00000076612,Ighg2c,NA,5.23716412422076
ENSMUSG00000105096,Gbp10,626578,5.23250588275584
ENSMUSG00000063388,BC023105,NA,5.16723346664592
ENSMUSG00000090942,F830016B08Rik,240328,5.15920154233764
ENSMUSG00000079017,Ifi27l2a,76933,5.14954024003242
ENSMUSG00000022584,Ly6c2,100041546,5.11530813889636
ENSMUSG00000022586,Ly6i,57248,5.05498015493776
ENSMUSG00000016283,H2-M2,14990,5.05253936596486
ENSMUSG00000000791,Il12rb1,16161,5.04928436505339
ENSMUSG00000015437,Gzmb,14939,5.01781167813779
ENSMUSG00000034855,Cxcl10,15945,5.01492053763302
ENSMUSG00000034438,Gbp8,76074,5.00736794104659
ENSMUSG00000095794,Igkv6-17,NA,4.98662722936515
ENSMUSG00000035042,Ccl5,20304,4.97343437507236
ENSMUSG00000030336,Cd27,21940,4.96852911128176
ENSMUSG00000027863,Cd2,12481,4.96290202305528
ENSMUSG00000047798,Cd300lf,246746,4.95890275101087
ENSMUSG00000000244,Tspan32,27027,4.92967416532731
ENSMUSG00000068606,Gm4841,225594,4.92683318112047
ENSMUSG00000032093,Cd3e,12501,4.89294663260565
ENSMUSG00000022218,Tgm1,21816,4.88776445008056
ENSMUSG00000024610,Cd74,16149,4.87031738013875
ENSMUSG00000039264,Gimap3,83408,4.86202530679986
ENSMUSG00000024910,Ctsw,13041,4.8555831281426
ENSMUSG00000052776,Oas1a,246730,4.85401111009747
ENSMUSG00000043931,Gimap7,231932,4.83628124295612
ENSMUSG00000028071,Sh2d2a,27371,4.82139944503809
ENSMUSG00000078921,Tgtp2,100039796,4.82113408883309
ENSMUSG00000054072,Iigp1,60440,4.81840981167619
ENSMUSG00000032661,Oas3,246727,4.79434422807123
ENSMUSG00000078922,Tgtp1,21822,4.7763545278366
ENSMUSG00000022126,Acod1,16365,4.7736091425156
ENSMUSG00000001588,Acap1,216859,4.75711165314301
ENSMUSG00000034028,Cd226,225825,4.74137435669472
ENSMUSG00000066861,Oas1g,23960,4.73265450204311
ENSMUSG00000066677,Ifi208,100033459,4.7232153425066
ENSMUSG00000002033,Cd3g,12502,4.7174881767476
ENSMUSG00000079363,Gbp4,17472,4.71156338994387
ENSMUSG00000067147,Rpl7a-ps11,NA,4.70587228822597
ENSMUSG00000018168,Ikzf3,22780,4.69691223841799
ENSMUSG00000045502,Hcar2,80885,4.68605823706465
ENSMUSG00000079014,Serpina3i,628900,4.68323329629502
ENSMUSG00000000386,Mx1,NA,4.68252527414639
ENSMUSG00000026573,Xcl1,16963,4.6823652995993
ENSMUSG00000028037,Ifi44,99899,4.67293951029172
ENSMUSG00000048521,Cxcr6,80901,4.65326054718189
ENSMUSG00000036594,H2-Aa,14960,4.64740108166596
ENSMUSG00000078920,Ifi47,15953,4.62012804325979
ENSMUSG00000053977,Cd8a,12525,4.61516301467455
ENSMUSG00000032094,Cd3d,12500,4.58972952603711
ENSMUSG00000078853,Igtp,16145,4.56185065002409
ENSMUSG00000053044,Cd8b1,12526,4.55680401080964
ENSMUSG00000024401,Tnf,21926,4.55640615173763
ENSMUSG00000073489,Ifi204,15951,4.5528302609159
ENSMUSG00000068227,Il2rb,16185,4.52316802787839
ENSMUSG00000022657,Cd96,84544,4.51929832987818
ENSMUSG00000099757,BE692007,NA,4.50472856146215
ENSMUSG00000024670,Cd6,12511,4.49170004003679
ENSMUSG00000025498,Irf7,54123,4.48795570988555
ENSMUSG00000055413,H2-Q5,15016,4.47383727455992
ENSMUSG00000021298,Gpr132,56696,4.45658085345275
ENSMUSG00000085977,Gm5970,NA,4.45599549502811
ENSMUSG00000068246,Apol9b,71898,4.45060489552222
ENSMUSG00000050232,Cxcr3,12766,4.45009061239882
ENSMUSG00000060586,H2-Eb1,14969,4.43636365993045
ENSMUSG00000057346,Apol9a,223672,4.43393302306912
ENSMUSG00000076752,Tcrg-C2,NA,4.38677500006505
ENSMUSG00000022504,Ciita,12265,4.37302983605858
ENSMUSG00000029561,Oasl2,23962,4.35944209164966
ENSMUSG00000026285,Pdcd1,18566,4.35803664200523
ENSMUSG00000073421,H2-Ab1,14961,4.34893485832659
ENSMUSG00000024675,Ms4a4c,64380,4.34745188325793
ENSMUSG00000046879,Irgm1,15944,4.34688020526189
ENSMUSG00000032690,Oas2,246728,4.34364929898795
ENSMUSG00000073555,Gm4951,240327,4.34266441932795
ENSMUSG00000042345,Ubash3a,328795,4.32847764036484
ENSMUSG00000073409,H2-Q6,110557,4.32191319418599
ENSMUSG00000030830,Itgal,16408,4.32174908404631
ENSMUSG00000026068,Il18rap,16174,4.31769252507531
ENSMUSG00000029322,Plac8,231507,4.31269248598725
ENSMUSG00000109729,Gm45418,NA,4.30967169988416
ENSMUSG00000054435,Gimap4,107526,4.3006153023557
ENSMUSG00000030107,Usp18,24110,4.29341381543419
ENSMUSG00000060550,H2-Q7,15018,4.2849571194709
ENSMUSG00000055170,Ifng,15978,4.28481834867277
ENSMUSG00000056290,Ms4a4b,60361,4.28333812387648
ENSMUSG00000030149,Klrk1,27007,4.28205006643423
